transaction_id,customer_id,date,amount,product_id
T0,C1052,2024-03-08,79.85,49
T1,C1080,2023-05-26,30.2,15
T2,C1172,2024-04-01,68.69,42
T3,C1288,2024-04-12,169.29,46
T4,C1038,2024-01-30,46.43,20
T5,C1008,2024-01-28,89.78,29
T6,C1193,2023-06-29,75.44,5
T7,C1220,2024-02-20,118.25,11
T8,C1264,2023-03-20,39.5,11
T9,C1142,2024-01-01,57.24,35
T10,C1232,2024-06-18,78.46,2
T11,C1212,2024-07-17,44.88,25
T12,C1008,2023-06-22,38.31,45
T13,C1099,2023-07-12,64.65,29
T14,C1213,2023-12-26,83.94,15
T15,C1111,2023-08-19,74.96,9
T16,C1176,2024-02-29,32.44,8
T17,C1155,2023-04-28,62.67,2
T18,C1194,2023-04-09,58.31,47
T19,C1272,2023-01-30,109.39,45
T20,C1259,2023-09-30,35.2,34
T21,C1098,2023-05-04,44.21,33
T22,C1135,2023-06-23,125.59,28
T23,C1025,2024-06-14,45.59,48
T24,C1240,2024-04-17,30.25,45
T25,C1011,2024-05-02,41.83,25
T26,C1134,2023-12-11,40.54,31
T27,C1264,2023-03-07,40.07,14
T28,C1278,2024-03-09,119.1,15
T29,C1094,2023-12-17,35.19,3
T30,C1287,2024-06-11,19.84,39
T31,C1035,2023-10-05,106.61,28
T32,C1215,2023-04-11,61.15,8
T33,C1178,2023-12-11,72.45,39
T34,C1241,2023-09-22,61.39,32
T35,C1253,2024-01-18,71.02,46
T36,C1130,2023-08-06,77.65,36
T37,C1179,2023-06-27,63.04,19
T38,C1221,2023-03-14,19.0,7
T39,C1045,2024-07-11,56.24,14
T40,C1183,2024-03-13,29.51,16
T41,C1121,2023-09-28,64.45,12
T42,C1109,2023-05-16,56.66,7
T43,C1079,2023-12-31,112.36,46
T44,C1139,2023-08-28,30.88,33
T45,C1004,2024-01-04,29.12,34
T46,C1183,2023-02-22,28.13,10
T47,C1289,2023-04-17,73.95,27
T48,C1143,2024-03-02,26.96,16
T49,C1137,2023-02-05,28.19,46
T50,C1138,2024-01-29,79.43,18
T51,C1040,2023-08-27,24.49,37
T52,C1162,2023-01-02,18.02,38
T53,C1265,2024-03-19,28.06,27
T54,C1263,2024-02-10,57.12,10
T55,C1295,2024-04-17,21.15,38
T56,C1050,2024-06-03,54.06,41
T57,C1244,2024-02-28,33.9,33
T58,C1150,2024-05-02,86.64,6
T59,C1076,2023-03-07,47.19,37
T60,C1228,2024-06-16,133.5,46
T61,C1057,2024-06-13,49.87,17
T62,C1138,2024-02-07,31.51,24
T63,C1157,2024-04-10,55.22,35
T64,C1166,2024-03-05,46.44,4
T65,C1175,2024-05-24,37.76,8
T66,C1028,2024-05-30,168.53,38
T67,C1263,2023-10-31,104.85,3
T68,C1057,2024-04-18,93.46,17
T69,C1290,2024-06-15,94.26,25
T70,C1287,2023-06-22,28.91,4
T71,C1273,2023-01-28,37.89,38
T72,C1089,2023-04-09,24.19,33
T73,C1102,2023-01-18,95.92,11
T74,C1233,2023-09-10,133.38,40
T75,C1175,2023-01-12,41.97,44
T76,C1294,2023-05-31,51.11,2
T77,C1037,2023-05-27,41.87,23
T78,C1177,2024-02-14,65.46,17
T79,C1155,2023-05-25,58.14,33
T80,C1279,2024-07-04,64.0,22
T81,C1021,2023-04-19,71.18,43
T82,C1129,2024-07-17,58.23,20
T83,C1033,2023-11-25,46.34,40
T84,C1227,2023-05-22,105.92,22
T85,C1036,2023-01-23,68.28,32
T86,C1292,2023-06-27,32.88,14
T87,C1090,2023-12-09,112.76,14
T88,C1131,2023-03-05,51.55,31
T89,C1092,2023-04-07,87.65,9
T90,C1101,2023-03-08,51.69,1
T91,C1211,2024-01-29,129.55,28
T92,C1109,2023-02-21,129.67,23
T93,C1022,2023-01-13,55.06,29
T94,C1045,2023-09-22,49.39,26
T95,C1033,2023-06-30,45.05,30
T96,C1295,2023-11-27,71.84,33
T97,C1196,2024-06-28,74.11,20
T98,C1282,2024-05-12,13.48,9
T99,C1201,2023-11-09,29.5,9
T100,C1207,2024-01-08,111.51,26
T101,C1213,2024-04-15,59.81,46
T102,C1265,2023-09-11,12.33,46
T103,C1216,2024-01-17,54.46,34
T104,C1136,2023-05-06,33.06,19
T105,C1198,2023-12-21,41.48,34
T106,C1118,2023-05-18,28.34,12
T107,C1165,2023-04-21,41.74,2
T108,C1041,2024-03-17,25.93,27
T109,C1222,2023-11-30,39.04,27
T110,C1009,2023-08-07,30.88,26
T111,C1024,2023-01-24,86.13,27
T112,C1073,2023-05-18,43.04,37
T113,C1063,2024-04-09,60.67,4
T114,C1228,2023-09-29,35.6,23
T115,C1222,2024-07-10,80.75,11
T116,C1069,2024-06-06,59.76,34
T117,C1057,2024-05-10,39.41,8
T118,C1103,2023-01-10,94.47,24
T119,C1159,2023-01-30,47.31,31
T120,C1214,2023-12-02,172.83,39
T121,C1078,2023-07-16,60.91,43
T122,C1209,2024-05-03,58.39,39
T123,C1129,2023-07-04,59.17,31
T124,C1023,2023-03-30,107.15,8
T125,C1250,2023-03-07,60.05,16
T126,C1098,2023-06-24,41.21,1
T127,C1198,2023-12-30,24.25,42
T128,C1084,2023-03-15,130.5,18
T129,C1133,2024-04-07,106.8,27
T130,C1195,2023-06-25,119.96,41
T131,C1082,2023-07-01,51.62,41
T132,C1023,2024-01-20,25.43,13
T133,C1241,2024-05-15,63.06,29
T134,C1025,2023-09-10,29.53,18
T135,C1197,2024-04-07,39.57,8
T136,C1179,2023-06-26,104.14,36
T137,C1131,2023-03-16,38.47,21
T138,C1050,2024-04-25,23.3,35
T139,C1260,2024-03-20,56.28,14
T140,C1116,2024-03-11,15.53,32
T141,C1207,2024-05-26,72.14,16
T142,C1253,2023-10-16,28.5,30
T143,C1294,2023-04-25,108.96,3
T144,C1238,2023-12-06,20.26,21
T145,C1199,2023-11-29,23.12,38
T146,C1291,2023-08-12,39.91,19
T147,C1269,2024-01-06,22.47,28
T148,C1009,2023-06-02,48.45,21
T149,C1165,2023-12-20,71.11,16
T150,C1094,2024-04-05,45.7,35
T151,C1213,2023-02-25,68.94,35
T152,C1037,2023-09-21,58.47,49
T153,C1252,2024-01-19,51.77,24
T154,C1290,2023-01-30,28.66,30
T155,C1027,2024-01-02,44.12,4
T156,C1225,2024-06-13,89.82,32
T157,C1142,2024-04-22,87.1,40
T158,C1297,2024-02-02,73.73,7
T159,C1181,2024-04-11,31.05,40
T160,C1284,2023-07-29,103.49,30
T161,C1017,2023-07-09,33.18,28
T162,C1181,2023-02-18,53.78,31
T163,C1236,2024-02-23,127.97,32
T164,C1016,2023-07-02,13.11,48
T165,C1214,2024-05-18,53.68,28
T166,C1252,2023-09-28,81.92,31
T167,C1280,2024-06-01,42.92,15
T168,C1163,2023-03-22,14.04,13
T169,C1111,2023-04-04,86.34,3
T170,C1253,2023-07-21,101.93,37
T171,C1140,2023-01-16,119.68,32
T172,C1096,2023-10-13,25.72,2
T173,C1273,2024-01-13,17.29,14
T174,C1233,2024-01-19,62.53,5
T175,C1123,2023-05-05,146.01,37
T176,C1012,2023-04-06,45.97,6
T177,C1250,2023-11-23,92.51,16
T178,C1066,2024-01-03,36.16,9
T179,C1126,2024-07-01,73.85,19
T180,C1013,2024-06-03,81.45,36
T181,C1101,2023-08-09,41.54,45
T182,C1271,2023-04-04,133.24,9
T183,C1083,2023-05-27,49.04,6
T184,C1021,2024-05-26,137.96,28
T185,C1064,2023-09-22,34.69,13
T186,C1052,2024-07-29,22.8,24
T187,C1129,2024-01-17,13.44,34
T188,C1046,2023-12-12,96.11,21
T189,C1048,2023-02-28,60.82,21
T190,C1077,2023-12-09,41.37,4
T191,C1248,2023-08-09,33.3,43
T192,C1084,2024-05-04,38.81,11
T193,C1292,2023-03-19,107.95,7
T194,C1224,2023-04-22,73.59,8
T195,C1029,2024-01-20,8.43,1
T196,C1112,2024-01-30,20.33,11
T197,C1016,2024-04-26,17.03,40
T198,C1054,2023-11-01,64.02,35
T199,C1001,2023-08-07,56.89,8
T200,C1108,2023-06-27,87.93,3
T201,C1279,2023-08-04,39.56,14
T202,C1292,2024-01-20,41.92,14
T203,C1022,2023-11-09,35.19,10
T204,C1096,2023-06-21,79.37,4
T205,C1204,2023-05-05,23.59,22
T206,C1224,2024-02-17,36.24,47
T207,C1091,2023-05-24,11.85,45
T208,C1146,2023-05-02,81.53,9
T209,C1059,2023-07-11,19.72,24
T210,C1158,2024-05-10,37.63,22
T211,C1073,2023-09-23,50.59,36
T212,C1051,2023-12-11,40.4,9
T213,C1206,2023-02-17,7.92,8
T214,C1045,2023-07-19,71.02,9
T215,C1005,2024-03-12,81.16,27
T216,C1140,2024-03-24,56.44,8
T217,C1259,2023-12-02,40.18,11
T218,C1109,2024-05-23,49.99,22
T219,C1170,2023-06-23,159.09,11
T220,C1056,2023-04-06,30.72,21
T221,C1070,2023-02-14,27.51,16
T222,C1049,2023-04-26,84.88,33
T223,C1062,2024-03-18,135.59,19
T224,C1182,2024-06-08,95.96,30
T225,C1196,2023-03-18,53.35,36
T226,C1096,2023-10-19,135.63,39
T227,C1188,2023-03-19,37.68,5
T228,C1116,2024-05-04,74.43,48
T229,C1095,2023-03-17,13.99,13
T230,C1048,2024-01-07,86.63,8
T231,C1100,2023-02-17,52.05,48
T232,C1095,2024-03-04,108.92,3
T233,C1139,2024-06-09,5.41,18
T234,C1252,2024-02-29,66.98,13
T235,C1273,2023-06-06,51.22,2
T236,C1071,2024-05-03,46.63,24
T237,C1161,2023-06-27,61.67,43
T238,C1035,2024-03-13,43.84,20
T239,C1252,2024-04-28,82.82,1
T240,C1100,2023-10-09,22.93,29
T241,C1192,2023-12-26,70.38,19
T242,C1270,2024-05-10,100.35,26
T243,C1168,2023-04-19,27.08,35
T244,C1272,2023-01-12,147.9,38
T245,C1146,2023-09-10,51.52,47
T246,C1283,2023-04-16,34.21,22
T247,C1204,2024-05-27,73.56,44
T248,C1188,2024-05-17,71.95,33
T249,C1147,2023-08-06,64.7,46
T250,C1292,2023-06-29,15.22,21
T251,C1217,2024-02-17,85.43,30
T252,C1173,2023-09-20,84.59,47
T253,C1054,2023-02-26,31.56,48
T254,C1250,2024-01-20,134.04,26
T255,C1096,2024-02-26,50.03,12
T256,C1027,2023-02-10,66.11,40
T257,C1261,2024-03-26,18.1,16
T258,C1205,2023-11-06,71.02,46
T259,C1118,2024-04-23,24.33,33
T260,C1161,2024-05-08,17.84,12
T261,C1252,2024-01-27,57.87,31
T262,C1083,2023-07-13,110.43,19
T263,C1281,2023-08-04,34.79,41
T264,C1034,2024-02-25,26.8,29
T265,C1173,2023-02-07,102.02,7
T266,C1215,2023-05-14,93.18,33
T267,C1030,2023-10-28,52.82,19
T268,C1085,2024-06-30,64.91,24
T269,C1227,2024-03-15,27.54,31
T270,C1183,2024-04-18,22.45,15
T271,C1199,2023-04-21,20.64,5
T272,C1200,2023-06-12,43.65,40
T273,C1087,2023-06-04,83.62,25
T274,C1008,2024-03-10,44.04,11
T275,C1258,2023-11-07,54.49,43
T276,C1036,2023-05-03,79.51,1
T277,C1144,2024-03-10,10.39,2
T278,C1262,2024-01-06,90.83,15
T279,C1017,2024-06-04,65.24,41
T280,C1214,2023-11-21,26.86,9
T281,C1020,2023-03-14,46.39,36
T282,C1035,2024-05-30,18.49,27
T283,C1068,2023-04-17,74.47,22
T284,C1108,2023-02-01,54.05,49
T285,C1182,2024-04-08,46.84,11
T286,C1107,2023-09-19,22.48,45
T287,C1244,2024-01-09,67.95,39
T288,C1023,2023-03-17,70.93,22
T289,C1029,2024-02-23,76.39,18
T290,C1070,2023-08-24,17.71,35
T291,C1006,2024-08-01,43.31,31
T292,C1077,2024-01-04,39.93,33
T293,C1186,2024-06-28,86.63,7
T294,C1202,2024-04-04,82.18,32
T295,C1122,2024-05-03,69.59,38
T296,C1095,2023-02-21,87.47,49
T297,C1132,2024-03-26,55.42,45
T298,C1168,2023-12-16,176.74,13
T299,C1246,2023-08-18,45.97,46
T300,C1045,2023-07-01,52.25,47
T301,C1275,2024-01-07,24.26,49
T302,C1115,2023-04-25,63.57,5
T303,C1290,2023-04-17,62.24,4
T304,C1092,2024-05-21,100.54,32
T305,C1233,2024-03-16,66.27,40
T306,C1139,2023-12-09,23.43,18
T307,C1000,2024-03-15,54.65,12
T308,C1010,2023-07-07,55.83,5
T309,C1045,2024-02-23,77.27,6
T310,C1178,2023-04-30,56.74,37
T311,C1176,2023-09-15,39.57,39
T312,C1049,2023-03-27,57.47,5
T313,C1286,2023-08-08,58.82,44
T314,C1098,2023-07-17,27.27,26
T315,C1024,2023-09-01,32.0,4
T316,C1168,2023-10-04,56.92,42
T317,C1154,2023-01-20,94.41,11
T318,C1034,2023-07-18,59.39,9
T319,C1118,2024-05-04,52.63,24
T320,C1190,2023-09-09,70.05,5
T321,C1122,2023-11-11,55.5,43
T322,C1109,2023-03-01,17.97,33
T323,C1080,2023-08-13,38.74,23
T324,C1118,2024-07-16,102.12,22
T325,C1081,2023-11-14,57.64,3
T326,C1057,2023-01-12,25.95,48
T327,C1071,2024-02-23,58.52,36
T328,C1035,2024-03-22,49.7,30
T329,C1030,2023-08-10,159.17,47
T330,C1086,2023-01-19,29.84,28
T331,C1166,2024-04-26,76.02,8
T332,C1023,2023-05-27,102.54,25
T333,C1133,2024-06-17,77.22,41
T334,C1198,2023-07-30,26.3,11
T335,C1213,2023-08-13,58.75,47
T336,C1141,2024-04-05,32.1,21
T337,C1191,2023-03-21,42.16,21
T338,C1167,2023-01-18,77.69,24
T339,C1285,2024-03-17,17.4,41
T340,C1254,2024-06-20,90.23,29
T341,C1101,2024-07-29,125.48,32
T342,C1015,2023-03-16,82.95,37
T343,C1264,2023-03-27,44.39,48
T344,C1000,2023-07-16,132.41,48
T345,C1115,2024-02-18,66.92,33
T346,C1072,2024-06-13,15.57,23
T347,C1198,2024-04-23,29.43,15
T348,C1005,2023-08-06,64.72,9
T349,C1241,2024-06-17,58.54,35
T350,C1185,2023-05-29,73.48,12
T351,C1119,2023-03-13,70.83,17
T352,C1000,2023-09-10,32.97,24
T353,C1133,2023-02-23,41.78,18
T354,C1166,2024-01-29,65.56,23
T355,C1189,2024-07-26,142.09,1
T356,C1115,2023-03-04,94.16,7
T357,C1033,2023-03-09,109.91,4
T358,C1054,2023-04-14,79.34,39
T359,C1159,2023-04-13,49.22,10
T360,C1070,2023-11-07,38.47,3
T361,C1028,2023-11-30,22.32,33
T362,C1113,2024-07-05,52.62,16
T363,C1067,2023-09-16,65.18,26
T364,C1118,2024-06-21,36.25,11
T365,C1186,2024-03-11,16.16,20
T366,C1049,2024-05-10,11.75,35
T367,C1291,2023-04-21,13.16,30
T368,C1039,2023-09-21,117.59,23
T369,C1299,2024-06-14,126.23,16
T370,C1109,2024-03-11,90.55,40
T371,C1078,2023-05-06,76.37,17
T372,C1212,2024-05-05,72.35,35
T373,C1043,2024-03-22,21.15,30
T374,C1187,2023-03-26,170.38,23
T375,C1155,2023-02-09,52.74,37
T376,C1249,2023-05-31,58.22,7
T377,C1132,2023-10-02,41.28,37
T378,C1070,2023-03-31,19.39,24
T379,C1113,2023-01-19,63.9,28
T380,C1034,2023-03-05,96.28,19
T381,C1230,2023-07-02,71.36,48
T382,C1042,2023-08-15,20.98,13
T383,C1212,2023-07-01,9.65,49
T384,C1114,2023-09-17,127.14,36
T385,C1168,2024-02-22,100.24,46
T386,C1121,2023-05-24,20.16,34
T387,C1186,2023-09-21,41.96,15
T388,C1227,2024-02-27,148.74,22
T389,C1174,2023-02-02,43.07,37
T390,C1160,2024-06-29,43.38,19
T391,C1203,2024-07-31,57.24,6
T392,C1136,2023-06-18,67.89,26
T393,C1278,2024-05-30,50.49,49
T394,C1029,2023-05-27,90.27,23
T395,C1284,2024-06-15,45.64,28
T396,C1072,2024-01-18,37.15,49
T397,C1293,2023-05-24,14.3,4
T398,C1179,2023-02-05,63.17,15
T399,C1257,2023-08-17,157.41,7
T400,C1010,2024-03-07,74.7,22
T401,C1031,2023-05-12,103.8,32
T402,C1038,2023-10-26,65.42,19
T403,C1135,2023-03-14,64.14,34
T404,C1007,2023-09-04,10.54,34
T405,C1234,2023-01-20,37.95,19
T406,C1267,2024-07-26,45.04,11
T407,C1088,2023-10-19,82.36,22
T408,C1082,2024-05-03,47.23,34
T409,C1182,2023-03-13,15.74,40
T410,C1260,2023-04-08,13.38,22
